What;320;0.16677089847821555%
by;316;0.16468626224723787%
am;314;0.16364394413174901%
They;311;0.16208046695851575%
thy;301;0.15686887638107153%
so;301;0.15686887638107153%
good;299;0.15582655826558267%
asked;297;0.15478424015009382%
my;296;0.15426308109234937%
about;295;0.15374192203460496%
time;290;0.15113612674588284%
into;290;0.15113612674588284%
bridge;286;0.14905149051490515%
thou;281;0.14644569522618303%
an;280;0.14592453616843862%
should;276;0.1438398999374609%
We;274;0.14279758182197205%
come;272;0.14175526370648323%
too;266;0.1386283093600167%
against;266;0.1386283093600167%
any;266;0.1386283093600167%
other;262;0.13654367312903898%
Anselmo;261;0.13602251407129456%
told;260;0.13550135501355012%
hand;258;0.1344590368980613%
woman;258;0.1344590368980613%
saw;257;0.13393787784031688%
must;256;0.13341671878257244%
again;249;0.1297686053783615%
more;249;0.1297686053783615%
Don;247;0.12872628726287264%
came;242;0.1261204919741505%
their;240;0.12507817385866166%
Agustin;238;0.12403585574317282%
two;237;0.1235146966854284%
She;235;0.12247237856993956%
here;233;0.1214300604544507%
through;232;0.12090890139670628%
nothing;224;0.11673962893475089%
road;224;0.11673962893475089%
never;223;0.11621846987700647%
get;220;0.11465499270377319%
think;219;0.11413383364602878%
old;216;0.1125703564727955%
us;215;0.11204919741505108%
your;215;0.11204919741505108%
or;212;0.1104857202418178%
face;211;0.10996456118407338%
has;208;0.10840108401084012%
only;208;0.10840108401084012%
right;203;0.105795288722118%
Ingles;202;0.10527412966437356%
well;200;0.10423181154888472%
before;198;0.10318949343339587%
himself;192;0.10006253908692933%
gypsy;192;0.10006253908692933%
still;188;0.09797790285595163%
many;187;0.09745674379820721%
In;187;0.09745674379820721%
put;187;0.09745674379820721%
little;186;0.0969355847404628%
Sordo;182;0.0948509485094851%
how;180;0.09380863039399624%
people;178;0.0927663122785074%
way;176;0.09172399416301855%
make;172;0.08963935793204086%
thing;171;0.08911819887429644%
take;171;0.08911819887429644%
Thou;169;0.08807588075880758%
some;169;0.08807588075880758%
those;168;0.08755472170106317%
went;167;0.08703356264331874%
Do;166;0.08651240358557431%
another;166;0.08651240358557431%
things;166;0.08651240358557431%
men;166;0.08651240358557431%
If;165;0.0859912445278299%
long;164;0.08547008547008547%
than;163;0.08494892641234104%
heard;156;0.08130081300813008%
say;155;0.08077965395038565%
something;154;0.08025849489264124%
away;153;0.07973733583489681%
knew;152;0.07921617677715238%
How;151;0.07869501771940797%
horse;151;0.07869501771940797%
under;150;0.07817385866166354%
behind;150;0.07817385866166354%
made;149;0.07765269960391911%
which;148;0.07713154054617469%
Now;148;0.07713154054617469%
such;147;0.07661038148843027%
felt;146;0.07608922243068585%
always;146;0.07608922243068585%
looking;145;0.07556806337294142%
night;145;0.07556806337294142%
mouth;145;0.07556806337294142%
